PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Kai, FO; Lourenco, ML; Fernandes, C				Kai, Flavia Obara; Lourenco, Mariane Lemos; Fernandes, Camilla			The organizational culture in the aging process of educational work	ADMINISTRACAO-ENSINO E PESQUISA																															2177-6083	2358-0917				SEP-DEC	2020	21	3					371	408		10.13058/raep.2020.v21n3.1809	http://dx.doi.org/10.13058/raep.2020.v21n3.1809													WOS:000592089400005
J	Tworek, K				Tworek, Katarzyna			RELIABILITY OF INFORMATION SYSTEMS IN ORGANIZATIONS AS A FACTOR SHAPING ORGANIZATIONAL CULTURE	ARGUMENTA OECONOMICA																															1233-5835						2020	45	2					259	274		10.15611/aoe.2020.2.11	http://dx.doi.org/10.15611/aoe.2020.2.11													WOS:000604402900011
J	Bendak, S; Shikhli, AM; Abdel-Razek, RH				Bendak, Salaheddine; Shikhli, Amir Moued; Abdel-Razek, Refaat H.			How changing organizational culture can enhance innovation? Development of the innovative culture enhancement framework	COGENT BUSINESS & MANAGEMENT																	Bendak, Salaheddine/AAF-3222-2021	Bendak, Salaheddine/0000-0003-2477-8194													2331-1975					JAN 1	2020	7	1							1712125	10.1080/23311975.2020.1712125	http://dx.doi.org/10.1080/23311975.2020.1712125													WOS:000507258100001
J	Tawaha, MS				Tawaha, Mohannad Sami			The study of the mutual effect between crisis strategies (Covid-19) and the organizational culture and organizational strategic orientation in private Jordanian universities	COGENT BUSINESS & MANAGEMENT																															2331-1975					JAN 1	2021	8	1							1984625	10.1080/23311975.2021.1984625	http://dx.doi.org/10.1080/23311975.2021.1984625													WOS:000720533600001
J	Assens-Serra, J; Boada-Cuerva, M; Serrano-Fernandez, MJ; Agullo-Tomas, E				Assens-Serra, Jordi; Boada-Cuerva, Maria; Serrano-Fernandez, Maria-Jose; Agullo-Tomas, Esteban			Gaining a Better Understanding of the Types of Organizational Culture to Manage Suffering at Work	FRONTIERS IN PSYCHOLOGY																															1664-1078					NOV 22	2021	12								782488	10.3389/fpsyg.2021.782488	http://dx.doi.org/10.3389/fpsyg.2021.782488								34880819					WOS:000727573500001
J	Liu, X; Lin, KL				Liu, Xiao; Lin, Kuen-Lin			Green Organizational Culture, Corporate Social Responsibility Implementation, and Food Safety	FRONTIERS IN PSYCHOLOGY																															1664-1078					NOV 6	2020	11								585435	10.3389/fpsyg.2020.585435	http://dx.doi.org/10.3389/fpsyg.2020.585435								33240175					WOS:000590511400001
J	Xie, XM; Wu, YH; Xie, PH; Yu, XY; Wang, HW				Xie, Xuemei; Wu, Yonghui; Xie, Peihong; Yu, Xiaoyu; Wang, Hongwei			Organizational innovation culture and firms' new product performance in two emerging markets: The moderating effects of institutional environments and organizational cohesion	JOURNAL OF MANAGEMENT & ORGANIZATION																															1833-3672	1839-3527				SEP	2021	27	5					972	991	PII S1833367219000087	10.1017/jmo.2019.8	http://dx.doi.org/10.1017/jmo.2019.8													WOS:000724347200009
J	Dastmalchian, A; Bacon, N; McNeil, N; Steinke, C; Blyton, P; Kumar, MS; Bayraktar, S; Auer-Rizzi, W; Bodla, AA; Cotton, R; Craig, T; Ertenu, B; Habibi, M; Huang, HJ; Imer, HP; Isa, CR; Ismail, A; Jiang, Y; Kabasakal, H; Colombo, CM; Moghavvemi, S; Mukherjee, T; Bin Musa, G; Sugai, P; Tang, NY; Thang, TTN; Varnali, R				Dastmalchian, Ali; Bacon, Nick; McNeil, Nicola; Steinke, Claudia; Blyton, Paul; Kumar, Medha Satish; Bayraktar, Secil; Auer-Rizzi, Werner; Bodla, Ali Ahmad; Cotton, Richard; Craig, Tim; Ertenu, Behice; Habibi, Mohammad; Huang, Heh Jason; Imer, Havva Pinar; Isa, Che Ruhana; Ismail, Ayman; Jiang, Yuan; Kabasakal, Hayat; Colombo, Carlotta Meo; Moghavvemi, Sedigheh; Mukherjee, Tuheena; Bin Musa, Ghazali; Sugai, Philip; Tang, Ningyu; Troung Thi Nam Thang; Varnali, Renin			High-performance work systems and organizational performance across societal cultures	JOURNAL OF INTERNATIONAL BUSINESS STUDIES																	Trade, Indian Institute of Foreign/AAF-4182-2021; Moghavvemi, Sedigheh/AAU-1969-2020; Bodla, Ali Ahmad/C-3116-2016; Bodla, Ali Ahmad/AAE-4574-2019; Jiang, Yuan/AAI-7225-2020; Bayraktar, Secil/N-8475-2016	Trade, Indian Institute of Foreign/0000-0002-2546-3285; Bodla, Ali Ahmad/0000-0002-3999-209X; Bodla, Ali Ahmad/0000-0002-3999-209X; Jiang, Yuan/0000-0001-7962-8172; Bayraktar, Secil/0000-0002-5669-4465; Isa, Che Ruhana/0000-0001-7253-8123													0047-2506	1478-6990				APR	2020	51	3					353	388		10.1057/s41267-019-00295-9	http://dx.doi.org/10.1057/s41267-019-00295-9		JAN 2020											WOS:000510302900001
J	Boyukaslan, A; Asikoglu, HR				Boyukaslan, Adem; Asikoglu, Hasan Riza			Does Organizational Culture Impact on Firm Performance: Evidence From Turkey	ISTANBUL BUSINESS RESEARCH																	Böyükaslan, Adem/AAZ-1564-2021	Böyükaslan, Adem/0000-0002-9073-0554														2630-5488				JAN	2022	51	1					149	174		10.26650/ibr.2022.51.861397	http://dx.doi.org/10.26650/ibr.2022.51.861397													WOS:000793686100007
J	Stojanovic, ET; Vlahovic, M; Nikolic, M; Mitic, S; Jovanovic, Z				Stojanovic, Edit Terek; Vlahovic, Marko; Nikolic, Milan; Mitic, Sinisa; Jovanovic, Zoran			THE RELATIONSHIP BETWEEN ORGANIZATIONAL CULTURE AND PUBLIC RELATIONS IN BUSINESS ORGANIZATIONS	JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT																															1611-1699	2029-4433					2020	21	6					1628	1645		10.3846/jbem.2020.13377	http://dx.doi.org/10.3846/jbem.2020.13377													WOS:000582570100007
J	AlShehhi, N; AlZaabi, F; Alnahhal, M; Sakhrieh, A; Tabash, MI				AlShehhi, Noora; AlZaabi, Fatima; Alnahhal, Mohammed; Sakhrieh, Ahmad; Tabash, Mosab I.			The effect of organizational culture on the performance of UAE organizations	COGENT BUSINESS & MANAGEMENT																		Tabash, Mosab I./0000-0003-3688-7224													2331-1975					JAN 1	2021	8	1							1980934	10.1080/23311975.2021.1980934	http://dx.doi.org/10.1080/23311975.2021.1980934													WOS:000706547400001
J	Streimikiene, D; Mikalauskiene, A; Digriene, L; Kyriakopoulos, G				Streimikiene, Dalia; Mikalauskiene, Asta; Digriene, Lina; Kyriakopoulos, Grigorios			ASSESSMENT OF THE ROLE OF A LEADER IN SHAPING SUSTAINABLE ORGANIZATIONAL CULTURE	AMFITEATRU ECONOMIC																	Kyriakopoulos, Grigorios L./A-5933-2008	Kyriakopoulos, Grigorios L./0000-0003-4875-8534													1582-9146	2247-9104				MAY	2021	23	57					483	503		10.24818/EA/2021/57/483	http://dx.doi.org/10.24818/EA/2021/57/483													WOS:000641700100011
J	Szeluga-Romanska, M; Modzelewska, A				Szeluga-Romanska, Marta; Modzelewska, Anna			The managerial role in organizational culture as perceived by management students	JOURNAL OF ENTREPRENEURSHIP MANAGEMENT AND INNOVATION																		Szeluga-Romanska, Marta/0000-0002-7383-5709; Modzelewska, Anna/0000-0003-1969-1836													2299-7075	2299-7326					2020	16	4					177	206		10.7341/20201646	http://dx.doi.org/10.7341/20201646													WOS:000587737300007
J	Kim, J; Jung, HS				Kim, Jina; Jung, Hye-Sun			The Effect of Employee Competency and Organizational Culture on Employees' Perceived Stress for Better Workplace	INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH																		Jung, Hye-Sun/0000-0002-9808-7217														1660-4601				APR	2022	19	8							4428	10.3390/ijerph19084428	http://dx.doi.org/10.3390/ijerph19084428								35457296					WOS:000787018600001
J	Assens-Serra, J; Boada-Cuerva, M; Serrano-Fernandez, MJ; Villajos, E; Boada-Grau, J				Assens-Serra, Jordi; Boada-Cuerva, Maria; Serrano-Fernandez, Maria-Jose; Villajos, Esther; Boada-Grau, Joan			Spanish Adaptation of the Organizational Culture Assessment Instrument: Reflection on the Difficulty in Transferring the ad hoc Factor	FRONTIERS IN PSYCHOLOGY																															1664-1078					DEC 24	2021	12								817232	10.3389/fpsyg.2021.817232	http://dx.doi.org/10.3389/fpsyg.2021.817232								35002905					WOS:000743987200001
J	Krupskyi, O; Kuzmytska, Y				Krupskyi, O.; Kuzmytska, Y.			ORGANIZATIONAL CULTURE AND BUSINESS STRATEGY: CONNECTION AND ROLE FOR A COMPANY SURVIVAL	CENTRAL EUROPEAN BUSINESS REVIEW																	Krupskyi, Oleksandr/C-8439-2016	Krupskyi, Oleksandr/0000-0002-1086-9274														1805-4862					2020	9	4					1	26		10.18267/j.cebr.241	http://dx.doi.org/10.18267/j.cebr.241													WOS:000576835200001
J	Salwender, M; Schoel, C; Bless, H; Stahlberg, D				Salwender, Mona; Schoel, Christiane; Bless, Herbert; Stahlberg, Dagmar			The Politics Hurdle: Joint Effect of Organizational Culture and Gender on Lack of Fit Experiences	SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE																		Salwender, Mona/0000-0001-8431-7707													1948-5506	1948-5514														19485506221075898	10.1177/19485506221075898	http://dx.doi.org/10.1177/19485506221075898		MAR 2022											WOS:000771592100001
J	Qadri, UA; abd Ghani, MB; Parveen, T; Lodhi, FAK; Khan, MWJ; Gillani, SF				Ahmad Qadri, Usman; Ghani, Mazuri Binti abd.; Parveen, Tahira; Lodhi, Faizan Ahmad Khan; Khan, Muhammad Waseem Jan; Gillani, Syed Farhan			How to improve organizational performance during Coronavirus: A serial mediation analysis of organizational learning culture with knowledge creation	KNOWLEDGE AND PROCESS MANAGEMENT																															1092-4604	1099-1441				APR	2021	28	2					141	152		10.1002/kpm.1663	http://dx.doi.org/10.1002/kpm.1663													WOS:000650328900004
J	Thien, NH				Nguyen Hoang Thien			EXPLORING THE ORGANIZATIONAL CULTURE OF HIGHER EDUCATION INSTITUTIONS IN VIETNAM FROM FACULTY'S PERSPECTIVE - A CASE STUDY	JOURNAL OF INTERNATIONAL AND COMPARATIVE EDUCATION																															2232-1802	2289-2567					2020	9	2					59	76		10.14425/jice.2020.9.2.0704	http://dx.doi.org/10.14425/jice.2020.9.2.0704													WOS:000581878700001
J	Piwowar-Sulej, K				Piwowar-Sulej, Katarzyna			Organizational culture and project management methodology: research in the financial industry	INTERNATIONAL JOURNAL OF MANAGING PROJECTS IN BUSINESS																	Piwowar-Sulej, Katarzyna/AAS-1994-2021; Piwowar-Sulej, Katarzyna/P-2694-2018	Piwowar-Sulej, Katarzyna/0000-0002-4627-4344; Piwowar-Sulej, Katarzyna/0000-0002-4627-4344													1753-8378	1753-8386				AUG 9	2021	14	6					1270	1289		10.1108/IJMPB-08-2020-0252	http://dx.doi.org/10.1108/IJMPB-08-2020-0252		MAR 2021											WOS:000636295800001
J	Ivaldi, S; Scaratti, G; Fregnan, E				Ivaldi, Silvia; Scaratti, Giuseppe; Fregnan, Ezio			Dwelling within the fourth industrial revolution: organizational learning for new competences, processes and work cultures	JOURNAL OF WORKPLACE LEARNING																															1366-5626	1758-7859				JAN 10	2022	34	1					1	26		10.1108/JWL-07-2020-0127	http://dx.doi.org/10.1108/JWL-07-2020-0127		JUL 2021											WOS:000678095600001
J	Kumpikaite-Valiuniene, V; Aickute, I; Baneviciene, I; Gao, JH; Torres, D				Kumpikaite-Valiuniene, Vilmante; Zickute, Ineta; Baneviciene, Irma; Gao, Junhong; Torres, Denisse			The Impact That Different Types of Organizational Cultures Have on the Adjustment of Self-Initiated Expatriates	FRONTIERS IN PSYCHOLOGY																															1664-1078					JAN 13	2022	12								804947	10.3389/fpsyg.2021.804947	http://dx.doi.org/10.3389/fpsyg.2021.804947								35095691					WOS:000759114400001
J	Bayhan, BC; Korkmaz, O				Bayhan, Bekir Caglar; Korkmaz, Oya			Relationship between Innovation Management and Innovative Organizational Culture in Logistics Companies: A Study in the City of Mersin	ISTANBUL BUSINESS RESEARCH																																2630-5488				JUN	2021	50	1					103	125		10.26650/ibr.2020.50.0058	http://dx.doi.org/10.26650/ibr.2020.50.0058													WOS:000681023600005
J	Rovis, SSN; Sayadi, S; Pourkiani, M; Abbasi, FB				Rovis, Sadegh Shattaly Nazhed; Sayadi, Saeed; Pourkiani, Masoud; Abbasi, Farzaneh Beikzadeh			A Theoretical Framework Based on Organizational Culture and Personnel Values (Case Study: Bandar Imam Petrochemicals)	PROPOSITOS Y REPRESENTACIONES																	Abbasi, Farzaneh Bikzadeh/AAQ-2145-2021; sayadi, saeed/AAO-3695-2021														2307-7999	2310-4635				SEP	2020	8				SI				e769	10.20511/pyr2020.v8nSPE3.769	http://dx.doi.org/10.20511/pyr2020.v8nSPE3.769													WOS:000591909600032
J	Senbeto, DL; Hon, AHY				Senbeto, Dagnachew Leta; Hon, Alice H. Y.			Shaping organizational culture in response to tourism seasonality: A qualitative approach	JOURNAL OF VACATION MARKETING																		Senbeto, Dagnachew/0000-0002-8743-3348													1356-7667	1479-1870				OCT	2021	27	4					466	478	13567667211006759	10.1177/13567667211006759	http://dx.doi.org/10.1177/13567667211006759		APR 2021											WOS:000643486000001
J	Yuan, M				Yuan, Meng			How the Perception of Public Official on Organizational Culture Influences Procedural Justice in Environmental Policy Processes	FRONTIERS IN PSYCHOLOGY																															1664-1078					SEP 27	2021	12								626210	10.3389/fpsyg.2021.626210	http://dx.doi.org/10.3389/fpsyg.2021.626210								34646184					WOS:000705911100001
J	Slatten, T; Lien, G; Mutonyi, BR				Slatten, Terje; Lien, Gudbrand; Mutonyi, Barbara Rebecca			Promoting organizational vision integration among hospital employees	BMC HEALTH SERVICES RESEARCH																																1472-6963				JAN 5	2022	22	1							26	10.1186/s12913-021-07430-z	http://dx.doi.org/10.1186/s12913-021-07430-z								34983517					WOS:000738597100003
J	Akman, D; Kosar, D				Akman, Devrim; Kosar, Didem			Analysing the Views of School of Foreign Languages Instructors about Organizational Culture	JOURNAL OF QUALITATIVE RESEARCH IN EDUCATION-EGITIMDE NITEL ARASTIRMALAR DERGISI																															2148-2624						2021		28					351	384		10.14689/enad.28.15	http://dx.doi.org/10.14689/enad.28.15													WOS:000718809400015
J	Kurniady, DA; Ayanti, S; Mulyaningsih; Rubianty, M; Komariah, A; Sururi; Sutarsih, C; Dekawati, I; Idris, F; Riadini, B; Salsabil, SH; Kurniasari, PM				Kurniady, Dedy Achmad; Ayanti, Sedarm; Mulyaningsih; Rubianty, Maity; Komariah, Aan; Sururi; Sutarsih, Cicih; Dekawati, Ipong; Idris, Fahmi; Riadini, Betty; Salsabil, Syifa Hanifa; Kurniasari, Putri Maulida			Analysis of the Role of Organizational Culture at the Center for Employee Education and Training	PROPOSITOS Y REPRESENTACIONES																	Komariah, Aan/N-5111-2019; , Mulyaningsih/CAH-2326-2022	Komariah, Aan/0000-0003-2269-3592; , Mulyaningsih/0000-0002-9196-941X													2307-7999	2310-4635				SEP	2020	8				SI				e773	10.20511/pyr2020.v8nSPE3.773	http://dx.doi.org/10.20511/pyr2020.v8nSPE3.773													WOS:000591909600036
